TCA,RundleQPct,Rundle,Matches,W,L,T
5,0.615,"B Glacier",143,103,21,19
4,0.615,"B Glacier",183,82,72,29
3,0.615,"B Glacier",155,35,91,29
2,0.615,"B Glacier",86,11,59,16
1,0.615,"B Glacier",28,2,25,1
0,0.615,"B Glacier",4,0,4,0
6,0.562,"B Highland",14,14,0,0
5,0.562,"B Highland",108,88,10,10
4,0.562,"B Highland",201,105,69,27
3,0.562,"B Highland",199,68,102,29
2,0.562,"B Highland",110,20,77,13
1,0.562,"B Highland",41,4,36,1
0,0.562,"B Highland",5,0,5,0
6,0.628,"B Horizon",44,37,0,7
5,0.628,"B Horizon",154,104,26,24
4,0.628,"B Horizon",163,80,57,26
3,0.628,"B Horizon",160,35,103,22
2,0.628,"B Horizon",72,8,57,7
1,0.628,"B Horizon",25,0,19,6
0,0.628,"B Horizon",2,0,2,0
6,0.641,"B Juniper",53,49,0,4
5,0.641,"B Juniper",155,99,31,25
4,0.641,"B Juniper",172,74,64,34
3,0.641,"B Juniper",140,34,89,17
2,0.641,"B Juniper",77,7,59,11
1,0.641,"B Juniper",20,0,19,1
0,0.641,"B Juniper",1,0,1,0
6,0.654,"B Laguna",49,44,0,5
5,0.654,"B Laguna",159,108,35,16
4,0.654,"B Laguna",188,71,78,39
3,0.654,"B Laguna",148,30,94,24
2,0.654,"B Laguna",53,8,38,7
1,0.654,"B Laguna",18,0,15,3
0,0.654,"B Laguna",1,0,1,0
6,0.664,"B Magnolia",43,37,0,6
5,0.664,"B Magnolia",170,116,29,25
4,0.664,"B Magnolia",223,75,106,42
3,0.664,"B Magnolia",141,33,88,20
2,0.664,"B Magnolia",44,7,34,3
1,0.664,"B Magnolia",9,0,9,0
0,0.664,"B Magnolia",2,0,2,0
6,0.640,"B Maritime",29,27,0,2
5,0.640,"B Maritime",149,108,23,18
4,0.640,"B Maritime",213,91,91,31
3,0.640,"B Maritime",140,35,84,21
2,0.640,"B Maritime",66,3,55,8
1,0.640,"B Maritime",12,0,10,2
0,0.640,"B Maritime",1,0,1,0
6,0.568,"B Memorial",20,16,0,4
5,0.568,"B Memorial",103,85,11,7
4,0.568,"B Memorial",191,95,60,36
3,0.568,"B Memorial",174,64,92,18
2,0.568,"B Memorial",100,13,68,19
1,0.568,"B Memorial",43,1,40,2
0,0.568,"B Memorial",3,0,3,0
6,0.638,"B Meridian",27,26,0,1
5,0.638,"B Meridian",166,112,27,27
4,0.638,"B Meridian",268,118,106,44
3,0.638,"B Meridian",144,31,93,20
2,0.638,"B Meridian",64,5,51,8
1,0.638,"B Meridian",13,1,12,0
0,0.638,"B Meridian",4,0,4,0
6,0.582,"B Metro",20,18,0,2
5,0.582,"B Metro",112,81,19,12
4,0.582,"B Metro",188,110,51,27
3,0.582,"B Metro",163,43,96,24
2,0.582,"B Metro",96,14,71,11
1,0.582,"B Metro",32,1,27,4
0,0.582,"B Metro",3,0,3,0
6,0.650,"B Midland",48,48,0,0
5,0.650,"B Midland",162,111,27,24
4,0.650,"B Midland",202,84,91,27
3,0.650,"B Midland",143,30,91,22
2,0.650,"B Midland",66,4,55,7
1,0.650,"B Midland",14,1,13,0
0,0.650,"B Midland",1,0,1,0
6,0.657,"B Morningstar",51,45,0,6
5,0.657,"B Morningstar",168,101,31,36
4,0.657,"B Morningstar",207,85,88,34
3,0.657,"B Morningstar",118,33,81,4
2,0.657,"B Morningstar",67,9,54,4
1,0.657,"B Morningstar",16,0,16,0
0,0.657,"B Morningstar",3,0,3,0
6,0.613,"B Pacific",28,28,0,0
5,0.613,"B Pacific",127,93,21,13
4,0.613,"B Pacific",211,94,77,40
3,0.613,"B Pacific",155,41,86,28
2,0.613,"B Pacific",78,8,57,13
1,0.613,"B Pacific",21,0,21,0
0,0.613,"B Pacific",2,0,2,0
6,0.634,"B Piedmont",28,23,0,5
5,0.634,"B Piedmont",134,88,21,25
4,0.634,"B Piedmont",201,82,72,47
3,0.634,"B Piedmont",144,34,86,24
2,0.634,"B Piedmont",54,10,40,4
1,0.634,"B Piedmont",19,0,18,1
6,0.606,"B Plaza",22,20,0,2
5,0.606,"B Plaza",110,82,20,8
4,0.606,"B Plaza",216,115,70,31
3,0.606,"B Plaza",153,40,102,11
2,0.606,"B Plaza",75,15,58,2
1,0.606,"B Plaza",21,0,21,0
0,0.606,"B Plaza",1,0,1,0
6,0.617,"B Prairie",38,37,0,1
5,0.617,"B Prairie",124,104,15,5
4,0.617,"B Prairie",196,94,79,23
3,0.617,"B Prairie",156,38,99,19
2,0.617,"B Prairie",84,5,70,9
1,0.617,"B Prairie",15,0,12,3
0,0.617,"B Prairie",3,0,3,0
6,0.558,"B Seaboard",16,16,0,0
5,0.558,"B Seaboard",82,64,12,6
4,0.558,"B Seaboard",187,107,55,25
3,0.558,"B Seaboard",201,64,94,43
2,0.558,"B Seaboard",115,20,89,6
1,0.558,"B Seaboard",25,3,20,2
0,0.558,"B Seaboard",4,0,4,0
6,0.602,"B Sequoia",23,20,0,3
5,0.602,"B Sequoia",121,86,16,19
4,0.602,"B Sequoia",216,113,72,31
3,0.602,"B Sequoia",160,45,85,30
2,0.602,"B Sequoia",90,3,77,10
1,0.602,"B Sequoia",20,2,17,1
0,0.602,"B Sequoia",2,0,2,0
6,0.596,"B Sierra",21,21,0,0
5,0.596,"B Sierra",107,79,15,13
4,0.596,"B Sierra",203,98,63,42
3,0.596,"B Sierra",206,60,116,30
2,0.596,"B Sierra",78,10,55,13
1,0.596,"B Sierra",17,0,17,0
0,0.596,"B Sierra",2,0,2,0
6,0.616,"B Skyline",32,29,0,3
5,0.616,"B Skyline",123,90,18,15
4,0.616,"B Skyline",202,93,76,33
3,0.616,"B Skyline",169,46,95,28
2,0.616,"B Skyline",69,9,55,5
1,0.616,"B Skyline",21,0,21,0
0,0.616,"B Skyline",2,0,2,0
6,0.640,"B Sugarloaf",43,34,0,9
5,0.640,"B Sugarloaf",143,94,19,30
4,0.640,"B Sugarloaf",195,83,80,32
3,0.640,"B Sugarloaf",161,36,94,31
2,0.640,"B Sugarloaf",59,3,43,13
1,0.640,"B Sugarloaf",16,1,14,1
0,0.640,"B Sugarloaf",1,0,1,0
6,0.676,"B Tundra",48,46,0,2
5,0.676,"B Tundra",199,125,38,36
4,0.676,"B Tundra",226,89,101,36
3,0.676,"B Tundra",137,21,98,18
2,0.676,"B Tundra",42,1,39,2
1,0.676,"B Tundra",8,1,5,2
0,0.676,"B Tundra",2,0,2,0
6,0.522,"C Alpine Div 1",7,7,0,0
5,0.522,"C Alpine Div 1",49,39,5,5
4,0.522,"C Alpine Div 1",132,72,30,30
3,0.522,"C Alpine Div 1",150,55,63,32
2,0.522,"C Alpine Div 1",110,20,67,23
1,0.522,"C Alpine Div 1",32,2,26,4
0,0.522,"C Alpine Div 1",4,0,4,0
6,0.558,"C Alpine Div 2",17,16,0,1
5,0.558,"C Alpine Div 2",74,57,8,9
4,0.558,"C Alpine Div 2",139,84,43,12
3,0.558,"C Alpine Div 2",137,42,68,27
2,0.558,"C Alpine Div 2",89,11,63,15
1,0.558,"C Alpine Div 2",32,2,26,4
0,0.558,"C Alpine Div 2",4,0,4,0
6,0.556,"C Arcadia Div 1",13,13,0,0
5,0.556,"C Arcadia Div 1",71,54,5,12
4,0.556,"C Arcadia Div 1",126,64,39,23
3,0.556,"C Arcadia Div 1",146,50,69,27
2,0.556,"C Arcadia Div 1",83,14,56,13
1,0.556,"C Arcadia Div 1",30,2,26,2
0,0.556,"C Arcadia Div 1",3,0,2,1
6,0.583,"C Arcadia Div 2",14,14,0,0
5,0.583,"C Arcadia Div 2",61,41,9,11
4,0.583,"C Arcadia Div 2",159,91,39,29
3,0.583,"C Arcadia Div 2",118,33,65,20
2,0.583,"C Arcadia Div 2",69,6,54,9
1,0.583,"C Arcadia Div 2",18,0,17,1
0,0.583,"C Arcadia Div 2",1,0,1,0
6,0.546,"C Archipelago",20,20,0,0
5,0.546,"C Archipelago",67,49,8,10
4,0.546,"C Archipelago",128,67,46,15
3,0.546,"C Archipelago",125,51,60,14
2,0.546,"C Archipelago",96,20,67,9
1,0.546,"C Archipelago",29,4,23,2
0,0.546,"C Archipelago",7,0,7,0
6,0.515,"C Atlantic Div 1",8,8,0,0
5,0.515,"C Atlantic Div 1",54,43,7,4
4,0.515,"C Atlantic Div 1",130,79,35,16
3,0.515,"C Atlantic Div 1",150,57,73,20
2,0.515,"C Atlantic Div 1",88,19,50,19
1,0.515,"C Atlantic Div 1",32,5,26,1
0,0.515,"C Atlantic Div 1",20,0,20,0
6,0.520,"C Atlantic Div 2",6,6,0,0
5,0.520,"C Atlantic Div 2",43,35,2,6
4,0.520,"C Atlantic Div 2",128,77,30,21
3,0.520,"C Atlantic Div 2",130,44,59,27
2,0.520,"C Atlantic Div 2",97,23,66,8
1,0.520,"C Atlantic Div 2",29,2,23,4
0,0.520,"C Atlantic Div 2",7,0,7,0
6,0.589,"C Badlands Div 1",15,15,0,0
5,0.589,"C Badlands Div 1",94,70,14,10
4,0.589,"C Badlands Div 1",149,74,51,24
3,0.589,"C Badlands Div 1",144,45,76,23
2,0.589,"C Badlands Div 1",76,5,55,16
1,0.589,"C Badlands Div 1",18,2,13,3
0,0.589,"C Badlands Div 1",2,0,2,0
6,0.574,"C Badlands Div 2",11,11,0,0
5,0.574,"C Badlands Div 2",73,54,11,8
4,0.574,"C Badlands Div 2",135,79,42,14
3,0.574,"C Badlands Div 2",125,39,63,23
2,0.574,"C Badlands Div 2",83,11,64,8
1,0.574,"C Badlands Div 2",15,0,12,3
0,0.574,"C Badlands Div 2",2,0,2,0
6,0.576,"C Bayou Div 1",22,22,0,0
5,0.576,"C Bayou Div 1",104,81,14,9
4,0.576,"C Bayou Div 1",176,89,60,27
3,0.576,"C Bayou Div 1",161,52,81,28
2,0.576,"C Bayou Div 1",90,10,71,9
