Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPD,OPD,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
73,25,AlbertsonJ,11,9,5,27,1,48,40,1.2,31,0.360465116279,0.266666666667,47,43,1.09302325581,22,0.721518987342,9,0.627131782946,0.988185654008,1.08198410362,1,0,3,26,E Atlantic Div 2,10,Atlantic,MicallefR
73,25,AlbertsonJM,10,13,2,21,-3,72,55,1.30909090909,40,0.39603960396,0.381944444444,75,60,1.25,31,0.663043478261,9,0.777984048405,1.04498792271,1.05908308222,1,1,6,21,D Atlantic Div 2,16,Atlantic,MicallefR
73,25,AlbrechtD,8,15,2,16,-19,58,51,1.13725490196,27,0.296703296703,0.369565217391,77,54,1.42592592593,39,0.546511627907,-12,0.666268514095,0.916076845298,0.84321492461,0,2,5,2,E Continental Div 1,23,Continental,PenroseB
73,25,AlbrechtM,9,13,3,21,-6,114,89,1.2808988764,27,0.290322580645,0.593333333333,120,86,1.39534883721,43,0.586538461538,-16,0.883655913978,1.17987179487,0.876861042184,0,0,8,13,C Piedmont Div 1,16,Piedmont,RafalA
73,25,AlbrightM,16,4,5,37,25,87,67,1.29850746269,40,0.373831775701,0.446666666667,62,51,1.21568627451,31,0.659340659341,9,0.820498442368,1.10600732601,1.03317243504,0,0,7,14,D Highland Div 2,1,Highland,MaebiusA
73,25,AlcornS,8,9,8,24,0,94,70,1.34285714286,41,0.394230769231,0.466666666667,94,73,1.28767123288,35,0.653465346535,6,0.860897435897,1.1201320132,1.04769611577,0,0,10,19,D Sierra Div 2,14,Sierra,HartmanM
73,25,AldrichD,15,8,2,32,25,71,55,1.29090909091,35,0.376344086022,0.366666666667,46,40,1.15,29,0.662790697674,6,0.743010752688,1.02945736434,1.0391347837,2,0,7,22,E Midland Div 1,5,Midland,WeberE
73,25,AlessiC,7,12,6,20,-13,66,58,1.13793103448,28,0.285714285714,0.386666666667,79,66,1.19696969697,28,0.708333333333,0,0.672380952381,1.095,0.994047619048,1,0,6,17,D Badlands Div 1,19,Badlands,YoungT
73,25,AlexanderC,12,10,3,25,23,116,80,1.45,43,0.457446808511,0.579710144928,93,63,1.47619047619,44,0.516483516484,-1,1.03715695344,1.09619366141,0.973930324994,1,2,11,11,D Pacific Div 2,9,Pacific,WinchellV
73,25,AlexanderH,13,8,4,28,1,72,47,1.53191489362,43,0.518072289157,0.340579710145,71,56,1.26785714286,34,0.63829787234,9,0.858651999302,0.978877582485,1.1563701615,2,2,9,14,D Garden,11,Garden,CordeiroN
73,25,AlexanderJ,15,8,2,32,7,86,64,1.34375,42,0.403846153846,0.426666666667,79,65,1.21538461538,25,0.712643678161,17,0.830512820513,1.13931034483,1.11648983201,0,0,9,28,C Corridor Div 2,3,Corridor,JohnsonW
73,25,AlexanderJaws,8,11,6,20,-15,114,90,1.26666666667,23,0.261363636364,0.652173913043,129,93,1.38709677419,39,0.606060606061,-16,0.913537549407,1.2582345191,0.867424242424,0,2,7,2,B Atlantic,23,Atlantic,KriegerB
73,25,AlexanderM,10,14,1,21,-7,132,101,1.30693069307,29,0.298969072165,0.673333333333,139,102,1.36274509804,26,0.675,3,0.972302405498,1.34833333333,0.973969072165,1,0,11,10,A Sierra,19,Sierra,HunterTJ
73,25,AlfordP,10,13,2,21,-4,90,69,1.30434782609,34,0.357894736842,0.479166666667,94,68,1.38235294118,37,0.588888888889,-3,0.837061403509,1.06805555556,0.946783625731,0,1,11,15,D Central Div 2,13,Central,RiesA
73,25,AliF,13,11,1,27,22,178,122,1.45901639344,28,0.424242424242,0.813333333333,156,111,1.40540540541,23,0.65671641791,5,1.23757575758,1.47004975124,1.08095884215,0,0,20,7,A Memorial,9,Memorial,AliF
73,25,AligW,9,12,4,22,-17,35,34,1.02941176471,19,0.271428571429,0.226666666667,52,38,1.36842105263,30,0.571428571429,-11,0.498095238095,0.798095238095,0.842857142857,0,0,3,16,E Badlands Div 2,17,Badlands,LeeD2
73,25,AllainB,13,8,4,30,4,55,53,1.03773584906,24,0.247422680412,0.353333333333,51,49,1.04081632653,21,0.758620689655,3,0.600756013746,1.11195402299,1.00604337007,2,0,3,17,E Sequoia Div 1,6,Sequoia,SorensonG
73,25,AllardM,9,9,7,25,-4,48,47,1.02127659574,23,0.252747252747,0.313333333333,52,47,1.10638297872,19,0.746666666667,4,0.566080586081,1.06,0.999413919414,1,0,2,14,E Prairie Div 1,15,Prairie,ChupackS
73,25,AllenC,11,9,5,27,-1,84,65,1.29230769231,31,0.348314606742,0.433333333333,85,67,1.26865671642,35,0.653465346535,-4,0.781647940075,1.08679867987,1.00177995328,0,0,5,22,D Plaza Div 1,6,Plaza,CottB
73,25,AllenD7,12,10,3,27,6,107,76,1.40789473684,43,0.43,0.506666666667,101,81,1.24691358025,29,0.707070707071,14,0.936666666667,1.21373737374,1.13707070707,1,0,12,17,C Garden,10,Garden,ZawistowskiS
73,25,AllenDB,5,18,2,1,-80,81,60,1.35,16,0.32,0.714285714286,161,111,1.45045045045,34,0.569620253165,-18,1.03428571429,1.28390596745,0.889620253165,0,11,7,4,A Cascade,26,Cascade,MillerAB
73,25,AllenE2,8,11,6,22,-10,48,37,1.2972972973,26,0.388059701493,0.246666666667,58,49,1.18367346939,26,0.686746987952,0,0.634726368159,0.933413654618,1.07480668944,0,0,5,14,R Alpine Div 1,12,Alpine,VinyardS
73,25,AllenJBE,11,10,4,24,11,81,62,1.3064516129,32,0.363636363636,0.449275362319,70,52,1.34615384615,25,0.621212121212,7,0.812911725955,1.07048748353,0.984848484848,2,2,5,11,R Maritime Div 2,8,Maritime,LeisersonK
73,25,AllenL2,7,15,3,15,-20,35,37,0.945945945946,16,0.219178082192,0.268115942029,55,44,1.25,31,0.630952380952,-15,0.487294024221,0.899068322981,0.850130463144,1,2,2,20,E Morningstar Div 1,23,Morningstar,SecrestS
73,25,AllenLR,10,10,5,25,2,82,68,1.20588235294,26,0.282608695652,0.453333333333,80,66,1.21212121212,26,0.711111111111,0,0.735942028986,1.16444444444,0.993719806763,1,0,5,16,D Plaza Div 1,8,Plaza,BreedingJ
73,25,AllenT,11,9,5,27,10,100,73,1.3698630137,42,0.407766990291,0.486666666667,90,73,1.23287671233,27,0.709677419355,15,0.894433656958,1.19634408602,1.11744440965,0,0,10,15,C Laguna Div 1,8,Laguna,EganP
73,25,AllettE,5,18,2,11,-50,42,37,1.13513513514,23,0.315068493151,0.256944444444,92,64,1.4375,40,0.545454545455,-17,0.572012937595,0.802398989899,0.860523038605,0,1,4,15,R Morningstar,30,Morningstar,LaLondeM
73,25,AlleyR,10,11,4,24,-2,106,83,1.27710843373,34,0.32380952381,0.553333333333,108,83,1.30120481928,34,0.663366336634,0,0.877142857143,1.21669966997,0.987175860443,0,0,6,10,C Fjord Div 1,13,Fjord,von WalterH
73,25,AllinghamL,11,10,4,18,1,107,74,1.44594594595,25,0.431034482759,0.725490196078,106,77,1.37662337662,37,0.602150537634,-12,1.15652467884,1.32764073371,1.03318502039,2,8,12,5,C Maritime,26,Maritime,BoreckiM
73,25,Almasa,17,5,3,36,24,109,75,1.45333333333,47,0.465346534653,0.520833333333,85,65,1.30769230769,32,0.640449438202,15,0.986179867987,1.16128277154,1.10579597286,2,1,12,11,D Bayou Div 2,2,Bayou,MillerA
73,25,AlmoiteA,10,9,6,26,5,140,103,1.35922330097,32,0.344086021505,0.686666666667,135,104,1.29807692308,25,0.728260869565,7,1.03075268817,1.41492753623,1.07234689107,0,0,16,4,A Plaza,13,Plaza,TalesnikR
73,25,AlmoiteB,10,11,4,24,6,124,98,1.26530612245,26,0.265306122449,0.653333333333,118,83,1.42168674699,45,0.563106796117,-19,0.918639455782,1.21644012945,0.828412918565,1,0,9,11,B Plaza,14,Plaza,TalesnikR
73,25,AlpayS,13,10,2,26,12,65,44,1.47727272727,38,0.487179487179,0.31884057971,53,44,1.20454545455,26,0.666666666667,12,0.80602006689,0.985507246377,1.15384615385,2,2,4,17,E Central Div 1,14,Central,RuizM
73,25,AltD,15,9,1,31,35,112,80,1.4,34,0.404761904762,0.533333333333,77,54,1.42592592593,36,0.55,-2,0.938095238095,1.08333333333,0.954761904762,2,0,11,19,R Pacific,5,Pacific,GruenspechtJ
73,25,AltemeierM,7,11,7,19,-1,41,38,1.07894736842,22,0.289473684211,0.275362318841,42,44,0.954545454545,14,0.815789473684,8,0.564836003051,1.09115179252,1.10526315789,1,2,3,19,E Cascade Div 1,22,Cascade,LevyB
